,METER_DATE,temp_outdoor,temp_dew_point,temp_ground,humidity,rainfall,snowfall,snowfall_3hr,wind_speed,wind_direction,pressure_vapor,pressure_area,pressure_sea,sunshine,solar_radiation,cloud_total,cloud_midlow,visual_range
0,2024-01-01 00:00:00,0.6,0.1,-0.2,97,,2.4,,1.9,20.0,6.2,1015.4,1026.3,,,0,0,394
1,2024-01-01 01:00:00,0.5,0.0,-0.2,97,,2.4,,2.2,50.0,6.1,1015.6,1026.5,,,0,0,402
2,2024-01-01 02:00:00,0.4,0.1,-0.3,98,,2.4,,0.4,0.0,6.2,1016.2,1027.1,,,6,2,616
3,2024-01-01 03:00:00,-0.1,-0.3,-0.3,98,,2.4,,1.7,20.0,6.0,1016.6,1027.5,,,1,1,265
4,2024-01-01 04:00:00,-0.2,-0.4,-0.3,98,,2.4,,2.2,20.0,5.9,1016.8,1027.7,,,6,6,203
5,2024-01-01 05:00:00,0.3,0.1,-0.2,99,,2.4,,1.2,90.0,6.2,1017.2,1028.1,,,8,8,371
6,2024-01-01 06:00:00,0.5,0.3,-0.2,99,,2.4,,2.0,50.0,6.2,1017.2,1028.1,,,8,8,257
7,2024-01-01 07:00:00,0.4,0.1,-0.2,98,,2.4,,2.1,70.0,6.2,1017.5,1028.4,,,4,4,623
8,2024-01-01 08:00:00,0.2,0.0,-0.3,98,,2.4,,0.8,70.0,6.1,1017.9,1028.8,0.0,0.0,4,4,626
9,2024-01-01 09:00:00,0.6,0.4,-0.3,99,,2.4,,1.3,50.0,6.3,1018.2,1029.1,0.5,0.27,1,1,587
10,2024-01-01 10:00:00,2.4,1.6,-0.2,95,,2.4,,1.4,70.0,6.9,1018.6,1029.4,1.0,0.82,1,0,1140
11,2024-01-01 11:00:00,4.4,1.5,-0.2,82,,2.2,,2.0,70.0,6.8,1018.3,1029.0,1.0,1.36,2,0,1519
12,2024-01-01 12:00:00,5.7,1.2,-0.2,73,,1.7,,2.3,90.0,6.7,1017.7,1028.4,1.0,1.7,4,0,1555
13,2024-01-01 13:00:00,7.3,2.1,-0.2,70,,0.9,,1.6,110.0,7.1,1016.6,1027.2,0.8,1.87,7,7,1612
14,2024-01-01 14:00:00,6.5,1.0,-0.1,68,,0.5,,2.1,180.0,6.6,1015.8,1026.4,0.0,0.65,9,9,1838
15,2024-01-01 15:00:00,6.4,0.9,0.0,68,,0.2,,1.2,160.0,6.5,1015.4,1026.0,0.0,0.5,9,9,1743
16,2024-01-01 16:00:00,5.8,0.3,0.0,68,,,,2.2,180.0,6.2,1015.3,1026.0,0.0,0.18,9,9,2206
17,2024-01-01 17:00:00,5.5,0.6,0.0,71,,,,2.3,200.0,6.4,1015.0,1025.7,0.0,0.08,9,9,1749
18,2024-01-01 18:00:00,4.9,0.0,-0.1,71,,,,1.1,230.0,6.1,1015.0,1025.7,0.0,0.01,9,9,1845
19,2024-01-01 19:00:00,4.6,0.0,-0.1,72,,,,1.3,270.0,6.1,1014.7,1025.4,,,9,9,1508
20,2024-01-01 20:00:00,4.4,0.3,-0.1,75,,,,1.3,270.0,6.2,1014.6,1025.3,,,1,1,1317
21,2024-01-01 21:00:00,4.3,0.6,-0.1,77,0.0,,,1.7,290.0,6.4,1014.5,1025.2,,,9,9,1116
22,2024-01-01 22:00:00,4.1,0.7,0.0,79,,,,1.5,250.0,6.4,1014.6,1025.3,,,9,9,913
23,2024-01-01 23:00:00,3.9,1.1,0.0,82,,,,2.0,270.0,6.6,1014.4,1025.1,,,9,9,737
24,2024-01-02 00:00:00,3.7,0.9,-0.1,82,0.0,,,1.7,290.0,6.5,1014.2,1024.9,,,10,9,664
25,2024-01-02 01:00:00,3.5,1.2,-0.1,85,,,,1.1,270.0,6.7,1013.6,1024.3,,,10,9,497
26,2024-01-02 02:00:00,3.3,1.1,0.0,86,,,,2.0,270.0,6.6,1013.5,1024.2,,,9,9,484
27,2024-01-02 03:00:00,3.0,-0.1,-0.2,80,0.0,,,2.2,270.0,6.1,1013.5,1024.2,,,8,8,715
28,2024-01-02 04:00:00,2.8,0.0,-0.2,82,,,,0.4,0.0,6.1,1012.9,1023.6,,,8,8,576
29,2024-01-02 05:00:00,2.4,0.0,-0.1,84,,,,0.1,0.0,6.1,1012.3,1023.1,,,8,8,568
30,2024-01-02 06:00:00,2.3,-0.1,-0.1,84,,,,0.6,340.0,6.1,1012.2,1023.0,,,9,9,560
31,2024-01-02 07:00:00,2.2,-0.5,-0.1,82,,,,0.3,0.0,5.9,1012.3,1023.1,,,9,9,633
32,2024-01-02 08:00:00,2.3,-1.3,-0.1,77,,,,1.4,290.0,5.6,1012.4,1023.2,0.0,0.0,9,9,855
33,2024-01-02 09:00:00,2.3,-1.6,-0.1,75,0.0,,,1.8,270.0,5.4,1012.6,1023.4,0.0,0.12,9,9,1116
34,2024-01-02 10:00:00,2.7,-1.4,-0.1,74,,,,2.2,250.0,5.5,1012.8,1023.5,0.0,0.26,9,9,1127
35,2024-01-02 11:00:00,3.1,-1.2,0.7,73,,,,1.6,290.0,5.6,1012.4,1023.1,0.0,0.4,9,9,1035
36,2024-01-02 12:00:00,3.6,-0.9,1.4,72,,,,1.7,290.0,5.7,1011.8,1022.5,0.0,0.6,9,9,967
37,2024-01-02 13:00:00,4.0,-1.3,2.5,68,,,,1.7,270.0,5.6,1011.2,1021.9,0.0,0.63,9,9,1336
38,2024-01-02 14:00:00,4.1,-2.3,2.4,63,,,,1.7,270.0,5.2,1010.7,1021.4,0.0,0.63,9,9,1482
39,2024-01-02 15:00:00,3.9,-2.7,1.7,62,,,,2.4,270.0,5.0,1010.6,1021.3,0.1,0.51,9,4,2241
40,2024-01-02 16:00:00,4.0,-2.6,1.4,62,,,,1.9,290.0,5.0,1010.4,1021.1,0.2,0.5,9,9,2014
41,2024-01-02 17:00:00,3.5,-2.8,-0.2,63,,,,1.2,270.0,5.0,1010.1,1020.8,0.0,0.21,9,9,1988
42,2024-01-02 18:00:00,3.2,-2.9,-0.1,64,,,,1.2,290.0,4.9,1010.4,1021.1,0.0,0.01,9,9,1922
43,2024-01-02 19:00:00,2.9,-2.0,-0.1,70,,,,1.6,290.0,5.3,1010.3,1021.0,,,10,3,1724
44,2024-01-02 20:00:00,2.4,-2.5,-0.1,70,,,,1.3,320.0,5.1,1010.4,1021.1,,,10,1,1756
45,2024-01-02 21:00:00,2.3,-2.2,-0.1,72,,,,2.1,290.0,5.2,1010.4,1021.1,,,9,2,1932
46,2024-01-02 22:00:00,2.3,-2.2,-0.1,72,,,,2.0,290.0,5.2,1010.1,1020.8,,,10,10,1840
47,2024-01-02 23:00:00,2.3,-2.0,-0.1,73,,,,1.2,290.0,5.3,1009.9,1020.6,,,10,10,1797
48,2024-01-03 00:00:00,2.4,-2.1,-0.1,72,,,,1.7,340.0,5.2,1009.6,1020.3,,,9,9,1849
49,2024-01-03 01:00:00,2.3,-1.8,-0.2,74,,,,1.6,340.0,5.4,1009.3,1020.0,,,10,10,1954
50,2024-01-03 02:00:00,2.2,-1.9,-0.2,74,,,,1.0,340.0,5.3,1008.9,1019.6,,,10,10,1986
