tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2011-01-01 00:00,1,119,수원,-9.4,0,,,1.2,0,270,0,71,0,2.1,-13.6,1013.2,0,1017.7,0,,9,,6.9,,0,0,,,2000,,,-6.1,0,-2.3,-1.3,0.5,1.8
2011-01-01 01:00,2,119,수원,-10.7,0,,,0.6,0,320,0,82,0,2.2,-13.1,1013.2,0,1017.7,0,,9,,6.9,,,,,,,,,-6.6,0,-2.4,-1.4,0.5,1.8
2011-01-01 02:00,3,119,수원,-12.5,0,,,0.7,0,270,0,85,0,2.0,-14.5,1013.4,0,1018.0,0,,9,,6.9,,,,,,,,,-7.0,0,-2.6,-1.5,0.5,1.8
2011-01-01 03:00,4,119,수원,-12.9,0,,,0.0,0,0,0,87,0,2.0,-14.6,1014.1,0,1018.7,0,,9,,6.9,,0,0,,,1500,13,,-7.2,0,-2.8,-1.6,0.5,1.9
2011-01-01 04:00,5,119,수원,-14.1,0,,,0.1,0,0,0,90,0,1.9,-15.3,1014.4,0,1019.0,0,,9,,6.9,,0,0,,,1300,,,-7.3,0,-2.9,-1.7,0.5,1.8
2011-01-01 05:00,6,119,수원,-12.6,0,,,0.0,0,0,0,93,0,2.2,-13.5,1014.6,0,1019.2,0,,9,,6.9,,6,6,Sc,10,1500,,,-6.9,0,-3.0,-1.8,0.5,1.8
2011-01-01 06:00,7,119,수원,-12.0,0,,,0.0,0,0,0,88,0,2.2,-13.5,1015.3,0,1019.9,0,,9,,6.9,,8,8,Sc,10,1500,,,-5.6,0,-2.8,-1.7,0.5,1.8
2011-01-01 07:00,8,119,수원,-9.7,0,,,0.4,0,0,0,75,0,2.2,-13.3,1015.9,0,1020.4,0,,9,,6.9,,7,7,Sc,10,1800,,,-5.1,0,-2.6,-1.6,0.4,1.8
2011-01-01 08:00,9,119,수원,-9.7,0,,,1.4,0,290,0,74,0,2.2,-13.4,1016.6,0,1021.1,0,0.0,0,0.0,6.9,,8,8,Sc,10,1800,,,-5.5,0,-2.5,-1.5,0.4,1.8
2011-01-01 09:00,10,119,수원,-9.2,0,,,1.4,0,290,0,70,0,2.1,-13.6,1017.2,0,1021.7,0,0.5,0,0.23,6.9,,6,0,Ci,,1800,13,,-5.0,0,-2.4,-1.5,0.4,1.7
2011-01-01 10:00,11,119,수원,-7.0,0,,,1.1,0,320,0,65,0,2.4,-12.4,1018.1,0,1022.6,0,1.0,0,0.75,6.9,,8,0,Ci,,1500,,,-3.0,0,-2.1,-1.4,0.3,1.7
2011-01-01 11:00,12,119,수원,-6.5,0,,,1.5,0,230,0,62,0,2.3,-12.5,1018.9,0,1023.4,0,1.0,0,1.11,6.8,,7,0,Ci,,1600,,,-1.4,0,-1.8,-1.3,0.3,1.7
2011-01-01 12:00,13,119,수원,-4.6,0,,,1.8,0,270,0,57,0,2.5,-11.8,1018.5,0,1023.0,0,1.0,0,1.48,6.7,,7,0,Ci,,1500,,,-0.8,0,-1.6,-1.1,0.3,1.7
2011-01-01 13:00,14,119,수원,-3.3,0,,,1.6,0,290,0,55,0,2.6,-11.0,1018.4,0,1022.8,0,1.0,0,1.61,6.6,,7,0,Ci,,1300,,,-0.5,0,-1.4,-1.0,0.2,1.6
2011-01-01 14:00,15,119,수원,-2.7,0,,,3.0,0,320,0,51,0,2.6,-11.4,1018.6,0,1023.0,0,1.0,0,1.53,6.5,,6,0,Ci,,2000,,,-0.5,0,-1.3,-0.9,0.2,1.6
2011-01-01 15:00,16,119,수원,-2.0,0,,,2.0,0,290,0,48,0,2.5,-11.5,1018.9,0,1023.3,0,1.0,0,1.34,6.4,,5,0,Ci,,2000,13,,-0.6,0,-1.1,-0.9,0.2,1.6
2011-01-01 16:00,17,119,수원,-2.9,0,,,1.7,0,270,0,55,0,2.7,-10.6,1019.1,0,1023.5,0,1.0,0,0.88,6.3,,4,0,Ci,,1700,,,-1.2,0,-1.1,-0.9,0.2,1.6
2011-01-01 17:00,18,119,수원,-3.9,0,,,1.3,0,270,0,59,0,2.7,-10.7,1019.9,0,1024.4,0,0.9,0,0.3,6.3,,3,0,Ci,,1500,,,-2.1,0,-1.0,-0.8,0.4,1.7
2011-01-01 18:00,19,119,수원,-4.6,0,,,1.6,0,270,0,62,0,2.7,-10.7,1020.6,0,1025.1,0,0.1,0,0.01,6.3,,0,0,,,1400,,,-3.1,0,-1.2,-0.9,0.4,1.7
2011-01-01 19:00,20,119,수원,-5.1,0,,,0.5,0,340,0,65,0,2.7,-10.6,1021.0,0,1025.5,0,,9,,6.3,,,,,,,,,-3.8,0,-1.4,-0.9,0.4,1.8
2011-01-01 20:00,21,119,수원,-5.6,0,,,1.3,0,270,0,67,0,2.7,-10.7,1021.6,0,1026.1,0,,9,,6.3,,,,,,,,,-4.3,0,-1.6,-0.9,0.4,1.7
2011-01-01 21:00,22,119,수원,-9.2,0,,,0.0,0,0,0,80,0,2.4,-12.0,1021.8,0,1026.4,0,,9,,6.3,,0,0,,,1400,13,,-4.7,0,-1.8,-1.1,0.4,1.7
2011-01-01 22:00,23,119,수원,-8.5,0,,,0.5,0,200,0,83,0,2.7,-10.8,1022.3,0,1026.9,0,,9,,6.3,,,,,,,,,-5.2,0,-2.0,-1.2,0.4,1.7
2011-01-01 23:00,24,119,수원,-9.4,0,,,0.0,0,0,0,83,0,2.5,-11.7,1023.0,0,1027.6,0,,9,,6.3,,,,,,,,,-5.6,0,-2.2,-1.3,0.4,1.7
2011-01-02 00:00,25,119,수원,-10.3,0,,,0.0,0,0,0,88,0,2.5,-11.9,1023.4,0,1028.0,0,,9,,6.3,,0,0,,,1000,,,-5.9,0,-2.4,-1.4,0.4,1.7
2011-01-02 01:00,26,119,수원,-10.6,0,,,0.0,0,0,0,92,0,2.5,-11.6,1023.9,0,1028.5,0,,9,,6.3,,,,,,,,,-6.1,0,-2.6,-1.5,0.4,1.7
2011-01-02 02:00,27,119,수원,-11.5,0,,,0.0,0,0,0,91,0,2.3,-12.6,1024.4,0,1029.0,0,,9,,6.3,,,,,,,,,-6.2,0,-2.7,-1.6,0.4,1.7
2011-01-02 03:00,28,119,수원,-11.0,0,,,0.0,0,0,0,91,0,2.4,-12.1,1024.5,0,1029.1,0,,9,,6.3,,0,0,,,800,13,19,-6.4,0,-2.9,-1.7,0.4,1.7
2011-01-02 04:00,29,119,수원,-11.6,0,,,0.0,0,0,0,93,0,2.3,-12.5,1024.2,0,1028.8,0,,9,,6.3,,0,0,,,700,,19,-6.6,0,-3.0,-1.7,0.3,1.7
2011-01-02 05:00,30,119,수원,-10.1,0,,,0.9,0,290,0,96,0,2.7,-10.6,1024.0,0,1028.6,0,,9,,6.3,,0,0,,,700,,19,-6.8,0,-3.1,-1.8,0.4,1.7
2011-01-02 06:00,31,119,수원,-13.1,0,,,0.2,0,0,0,92,0,2.1,-14.1,1024.3,0,1028.9,0,,9,,6.3,,0,0,,,700,,19,-6.8,0,-3.1,-1.9,0.4,1.7
2011-01-02 07:00,32,119,수원,-11.7,0,,,0.0,0,0,0,93,0,2.3,-12.6,1024.6,0,1029.2,0,,9,,6.3,,0,0,,,700,,19,-7.0,0,-3.1,-1.9,0.3,1.7
2011-01-02 08:00,33,119,수원,-11.8,0,,,0.1,0,0,0,94,0,2.3,-12.5,1025.1,0,1029.7,0,0.0,0,0.0,6.3,,0,0,,,500,,19,-6.9,0,-3.3,-1.9,0.3,1.7
2011-01-02 09:00,34,119,수원,-9.3,0,,,0.0,0,0,0,92,0,2.8,-10.3,1025.3,0,1029.9,0,0.8,0,0.31,6.3,,0,0,,,500,13,19,-6.1,0,-3.2,-1.9,0.3,1.7
2011-01-02 10:00,35,119,수원,-6.0,0,,,0.3,0,0,0,72,0,2.8,-10.2,1025.3,0,1029.8,0,1.0,0,1.04,6.3,,0,0,,,800,,19,-3.8,0,-2.6,-1.8,0.2,1.6
2011-01-02 11:00,36,119,수원,-3.6,0,,,1.0,0,250,0,62,0,2.9,-9.8,1025.2,0,1029.7,0,1.0,0,1.54,6.3,,0,0,,,1000,,19,-1.5,0,-2.1,-1.6,0.1,1.6
2011-01-02 12:00,37,119,수원,-2.1,0,,,1.2,0,270,0,59,0,3.1,-9.0,1024.5,0,1028.9,0,1.0,0,1.81,6.3,,0,0,,,1000,,,-0.7,0,-1.7,-1.4,0.0,1.5
2011-01-02 13:00,38,119,수원,-0.9,0,,,1.6,0,290,0,52,0,3.0,-9.5,1023.3,0,1027.7,0,1.0,0,1.56,6.2,,2,0,Ci,,1300,,,-0.5,0,-1.5,-1.2,0.0,1.5
2011-01-02 14:00,39,119,수원,-0.3,0,,,2.2,0,270,0,49,0,2.9,-9.7,1022.8,0,1027.2,0,1.0,0,1.66,6.2,,0,0,,,1500,,,-0.4,0,-1.3,-1.1,0.0,1.5
2011-01-02 15:00,40,119,수원,-0.7,0,,,2.4,0,250,0,52,0,3.0,-9.3,1022.2,0,1026.6,0,1.0,0,1.27,6.2,,0,0,,,1800,13,,-0.5,0,-1.2,-0.9,0.1,1.5
2011-01-02 16:00,41,119,수원,-1.6,0,,,2.6,0,250,0,57,0,3.1,-9.0,1022.2,0,1026.6,0,1.0,0,0.88,6.1,,0,0,,,1600,,,-1.0,0,-1.1,-0.9,0.1,1.5
2011-01-02 17:00,42,119,수원,-2.9,0,,,2.4,0,270,0,60,0,3.0,-9.5,1022.0,0,1026.5,0,0.9,0,0.29,6.1,,0,0,,,2000,,,-1.9,0,-1.0,-0.8,0.2,1.6
2011-01-02 18:00,43,119,수원,-3.8,0,,,1.9,0,290,0,71,0,3.3,-8.2,1022.2,0,1026.7,0,0.1,0,0.02,6.1,,0,0,,,1600,,,-2.8,0,-1.0,-0.9,0.2,1.6
2011-01-02 19:00,44,119,수원,-4.5,0,,,1.2,0,290,0,73,0,3.2,-8.6,1022.3,0,1026.8,0,,9,,6.1,,,,,,,,,-3.5,0,-1.1,-0.9,0.3,1.7
2011-01-02 20:00,45,119,수원,-5.3,0,,,0.4,0,0,0,77,0,3.2,-8.7,1022.1,0,1026.6,0,,9,,6.1,,,,,,,,,-4.1,0,-1.5,-0.9,0.3,1.6
2011-01-02 21:00,46,119,수원,-7.7,0,,,0.0,0,0,0,82,0,2.8,-10.2,1022.1,0,1026.6,0,,9,,6.1,,0,0,,,1200,13,,-4.6,0,-1.7,-1.0,0.3,1.6
2011-01-02 22:00,47,119,수원,-5.8,0,,,1.0,0,290,0,81,0,3.2,-8.5,1021.7,0,1026.2,0,,9,,6.1,,,,,,,,,-5.0,0,-2.0,-1.1,0.3,1.6
2011-01-02 23:00,48,119,수원,-6.7,0,,,1.3,0,320,0,82,0,3.0,-9.2,1021.5,0,1026.0,0,,9,,6.1,,,,,,,,,-5.4,0,-2.2,-1.2,0.3,1.6
2011-01-03 00:00,49,119,수원,-9.9,0,,,0.6,0,270,0,86,0,2.5,-11.8,1021.6,0,1026.2,0,,9,,6.1,,0,0,,,1000,,,-5.7,0,-2.4,-1.4,0.3,1.7
2011-01-03 01:00,50,119,수원,-10.5,0,,,0.6,0,160,0,90,0,2.5,-11.8,1021.3,0,1025.9,0,,9,,6.1,,,,,,,,19,-6.1,0,-2.6,-1.5,0.3,1.6
2011-01-03 02:00,51,119,수원,-10.9,0,,,0.0,0,0,0,93,0,2.5,-11.8,1021.3,0,1025.9,0,,9,,6.1,,,,,,,,19,-6.3,0,-2.8,-1.6,0.2,1.6
2011-01-03 03:00,52,119,수원,-10.9,0,,,0.0,0,0,0,92,0,2.5,-11.9,1021.2,0,1025.8,0,,9,,6.1,,0,0,,,800,13,19,-6.6,0,-3.0,-1.7,0.2,1.6
2011-01-03 04:00,53,119,수원,-12.0,0,,,0.0,0,0,0,94,0,2.3,-12.7,1020.8,0,1025.4,0,,9,,6.1,,0,0,,,800,,19,-6.8,0,-3.2,-1.9,0.2,1.6
2011-01-03 05:00,54,119,수원,-12.4,0,,,0.1,0,0,0,94,0,2.2,-13.1,1020.4,0,1025.0,0,,9,,6.1,,0,0,,,800,,19,-7.0,0,-3.3,-2.0,0.2,1.6
2011-01-03 06:00,55,119,수원,-11.9,0,,,0.0,0,0,0,94,0,2.3,-12.6,1020.5,0,1025.1,0,,9,,6.1,,0,0,,,800,,19,-7.1,0,-3.5,-2.0,0.2,1.6
2011-01-03 07:00,56,119,수원,-12.3,0,,,0.0,0,0,0,94,0,2.3,-13.0,1021.0,0,1025.6,0,,9,,6.1,,0,0,,,700,,19,-7.2,0,-3.6,-2.1,0.2,1.6
2011-01-03 08:00,57,119,수원,-12.4,0,,,0.1,0,0,0,93,0,2.2,-13.3,1021.0,0,1025.6,0,0.0,0,0.0,6.1,,4,2,ScCi,10,700,,19,-6.8,0,-3.6,-2.2,0.2,1.6
2011-01-03 09:00,58,119,수원,-9.6,0,,,0.0,0,0,0,91,0,2.7,-10.7,1020.7,0,1025.3,0,0.4,0,0.26,6.1,,0,0,,,600,13,19,-5.7,0,-3.4,-2.1,0.1,1.5
2011-01-03 10:00,59,119,수원,-6.0,0,,,0.2,0,0,0,80,0,3.1,-8.8,1020.2,0,1024.7,0,0.7,0,0.7,6.1,,4,0,Ci,,700,,19,-3.2,0,-2.8,-2.0,0.1,1.5
2011-01-03 11:00,60,119,수원,-5.3,0,,,1.7,0,200,0,75,0,3.1,-9.0,1020.0,0,1024.5,0,0.6,0,1.08,6.1,,7,0,Ci,,700,,19,-1.5,0,-2.3,-1.7,0.0,1.4
2011-01-03 12:00,61,119,수원,-1.9,0,,,0.6,0,200,0,57,0,3.0,-9.3,1019.1,0,1023.5,0,1.0,0,1.76,6.0,,7,0,Ci,,800,,4019,-0.6,0,-1.8,-1.4,0.0,1.4
2011-01-03 13:00,62,119,수원,-1.0,0,,,1.6,0,230,0,58,0,3.3,-8.2,1018.5,0,1022.9,0,1.0,0,1.7,6.0,,7,0,Ci,,900,,40,-0.4,0,-1.5,-1.3,-0.1,1.4
2011-01-03 14:00,63,119,수원,-0.7,0,,,2.3,0,270,0,62,0,3.6,-7.0,1017.9,0,1022.3,0,0.6,0,1.09,5.9,,8,5,AcCi,32,900,,40,-0.3,0,-1.3,-1.1,0.0,1.4
2011-01-03 15:00,64,119,수원,-0.8,0,,,1.7,0,270,0,63,0,3.6,-6.9,1017.5,0,1021.9,0,0.7,0,0.92,5.8,,8,0,Ci,,800,13,40,-0.4,0,-1.2,-1.0,0.0,1.4
2011-01-03 16:00,65,119,수원,-0.9,0,,,1.5,0,270,0,69,0,4.0,-5.8,1017.4,0,1021.8,0,0.6,0,0.56,5.8,,8,0,Ci,,700,,40,-0.4,0,-1.1,-0.9,0.0,1.4
2011-01-03 17:00,66,119,수원,-1.4,0,,,1.0,0,250,0,71,0,3.9,-5.9,1017.7,0,1022.1,0,0.0,0,0.2,5.8,,8,0,Ci,,1000,,40,-0.9,0,-1.0,-0.8,0.1,1.5
2011-01-03 18:00,67,119,수원,-2.1,0,,,1.4,0,290,0,75,0,3.9,-5.9,1018.1,0,1022.5,0,0.0,0,0.02,5.8,,7,0,Ci,,1200,,,-1.6,0,-1.0,-0.8,0.1,1.5
2011-01-03 19:00,68,119,수원,-2.2,0,,,1.7,0,290,0,72,0,3.8,-6.5,1017.9,0,1022.3,0,,9,,5.8,,,,,,,,,-2.1,0,-1.0,-0.8,0.1,1.5
2011-01-03 20:00,69,119,수원,-2.3,0,,,1.3,0,320,0,72,0,3.7,-6.6,1017.6,0,1022.0,0,,9,,5.8,,,,,,,,,-2.5,0,-1.2,-0.9,0.1,1.5
2011-01-03 21:00,70,119,수원,-3.3,0,,,1.1,0,270,0,77,0,3.7,-6.7,1017.7,0,1022.1,0,,9,,5.8,,4,0,Ci,,1200,13,,-3.2,0,-1.4,-0.9,0.1,1.5
2011-01-03 22:00,71,119,수원,-4.7,0,,,0.6,0,320,0,79,0,3.4,-7.7,1017.9,0,1022.4,0,,9,,5.8,,,,,,,,,-3.6,0,-1.6,-0.9,0.2,1.5
2011-01-03 23:00,72,119,수원,-5.8,0,,,0.4,0,0,0,80,0,3.2,-8.7,1017.9,0,1022.4,0,,9,,5.8,,,,,,,,,-4.0,0,-1.8,-1.0,0.2,1.5
2011-01-04 00:00,73,119,수원,-7.3,0,,,0.0,0,0,0,87,0,3.1,-9.0,1017.7,0,1022.2,0,,9,,5.8,,0,0,,,1000,,,-4.7,0,-2.0,-1.1,0.1,1.5
2011-01-04 01:00,74,119,수원,-7.8,0,,,0.0,0,0,0,94,0,3.2,-8.6,1017.5,0,1022.0,0,,9,,5.8,,,,,,,,19,-5.2,0,-2.3,-1.2,0.2,1.6
2011-01-04 02:00,75,119,수원,-8.9,0,,,0.0,0,0,0,95,0,3.0,-9.5,1017.9,0,1022.4,0,,9,,5.8,,,,,,,,19,-5.5,0,-2.5,-1.4,0.2,1.6
2011-01-04 03:00,76,119,수원,-8.3,0,,,0.5,0,320,0,97,0,3.2,-8.6,1018.1,0,1022.6,0,,9,,5.8,,2,0,Ci,,800,13,19,-5.9,0,-2.8,-1.5,0.1,1.5
2011-01-04 04:00,77,119,수원,-9.7,0,,,0.0,0,0,0,94,0,2.8,-10.4,1018.1,0,1022.7,0,,9,,5.8,,0,0,,,800,,19,-6.1,0,-2.9,-1.7,0.2,1.6
2011-01-04 05:00,78,119,수원,-10.5,0,,,0.0,0,0,0,94,0,2.6,-11.2,1018.1,0,1022.7,0,,9,,5.8,,0,0,,,700,,19,-6.4,0,-3.1,-1.8,0.1,1.5
2011-01-04 06:00,79,119,수원,-10.3,0,,,0.0,0,0,0,95,0,2.7,-10.9,1018.2,0,1022.8,0,,9,,5.8,,0,0,,,600,,19,-6.6,0,-3.3,-2.0,0.1,1.6
2011-01-04 07:00,80,119,수원,-9.1,0,,,0.1,0,0,0,97,0,3.0,-9.4,1018.5,0,1023.0,0,,9,,5.8,,8,8,Sc,10,400,,19,-5.9,0,-3.4,-2.1,0.0,1.5
2011-01-04 08:00,81,119,수원,-8.1,0,,,0.0,0,0,0,96,0,3.2,-8.6,1018.3,0,1022.8,0,0.0,0,0.0,5.8,,8,8,Sc,10,400,,19,-4.7,0,-3.1,-2.1,0.0,1.5
2011-01-04 09:00,82,119,수원,-6.8,0,,9,0.0,0,0,0,94,0,3.5,-7.6,1018.5,0,1023.0,0,0.0,0,0.04,5.8,,8,8,Sc,10,400,13,19,-3.6,0,-2.8,-1.9,0.0,1.5
2011-01-04 10:00,83,119,수원,-4.4,0,,,0.0,0,0,0,87,0,3.8,-6.2,1018.9,0,1023.4,0,0.0,0,0.33,5.8,,8,8,Sc,10,500,,19,-2.0,0,-2.3,-1.7,0.0,1.5
2011-01-04 11:00,84,119,수원,-3.0,0,,,0.6,0,160,0,78,0,3.8,-6.3,1019.1,0,1023.5,0,0.0,0,0.69,5.8,,8,8,Sc,10,600,,19,-0.8,0,-1.8,-1.5,-0.1,1.4
2011-01-04 12:00,85,119,수원,-1.2,0,,,0.9,0,270,0,68,0,3.8,-6.3,1018.9,0,1023.3,0,0.1,0,0.95,5.7,,8,8,Sc,10,1000,,19,-0.4,0,-1.5,-1.3,-0.1,1.4
2011-01-04 13:00,86,119,수원,-1.2,0,,,1.3,0,270,0,66,0,3.7,-6.7,1018.2,0,1022.6,0,0.4,0,1.21,5.6,,8,8,Sc,10,1300,,,0.0,0,-1.3,-1.2,-0.1,1.4
