,METER_DATE,temp_outdoor,temp_dew_point,temp_ground,humidity,rainfall,snowfall,snowfall_3hr,wind_speed,wind_direction,pressure_vapor,pressure_area,pressure_sea,sunshine,solar_radiation,cloud_total,cloud_midlow,visual_range
0,2024-01-01 00:00:00,-1.2,-1.6,-1.1,97.0,,,,0.0,0,5.4,1022.0,1027.1,,,0.0,0.0,343
1,2024-01-01 01:00:00,-1.4,-1.6,-1.2,98.0,,,,0.8,290,5.4,1022.3,1027.4,,,2.0,2.0,439
2,2024-01-01 02:00:00,-1.2,-1.4,-0.8,98.0,,,,1.0,320,5.5,1022.9,1028.0,,,0.0,0.0,390
3,2024-01-01 03:00:00,-1.7,-2.1,-1.7,97.0,,,,0.7,290,5.2,1023.2,1028.3,,,0.0,0.0,421
4,2024-01-01 04:00:00,-1.9,-2.1,-1.3,98.0,,,,1.3,320,5.2,1023.6,1028.7,,,0.0,0.0,396
5,2024-01-01 05:00:00,-1.6,-1.8,-1.0,98.0,,,,0.0,0,5.4,1023.7,1028.8,,,8.0,8.0,246
6,2024-01-01 06:00:00,-1.6,-1.8,-1.5,98.0,,,,0.3,0,5.4,1023.9,1029.0,,,8.0,8.0,372
7,2024-01-01 07:00:00,-1.7,-1.9,-2.0,98.0,,,,0.9,230,5.3,1024.2,1029.3,,,2.0,2.0,361
8,2024-01-01 08:00:00,-2.2,-2.6,-2.0,97.0,,,,0.5,290,5.0,1024.6,1029.7,0.0,0.0,2.0,2.0,391
9,2024-01-01 09:00:00,-1.1,-1.2,-0.6,99.0,,,,0.3,0,5.6,1024.9,1030.0,0.8,0.35,0.0,0.0,435
10,2024-01-01 10:00:00,2.7,2.1,-0.1,96.0,,,,0.6,160,7.1,1025.1,1030.1,1.0,0.89,0.0,0.0,944
11,2024-01-01 11:00:00,5.0,0.9,3.3,75.0,,,,1.2,140,6.5,1024.9,1029.9,1.0,1.29,0.0,0.0,1425
12,2024-01-01 12:00:00,5.3,0.6,3.3,72.0,,,,2.2,160,6.4,1024.3,1029.3,0.7,1.33,9.0,9.0,1855
13,2024-01-01 13:00:00,6.4,1.3,10.5,70.0,,,,1.7,160,6.7,1023.3,1028.3,0.2,1.35,8.0,8.0,1658
14,2024-01-01 14:00:00,6.3,0.4,8.0,66.0,,,,2.2,160,6.3,1022.4,1027.4,0.2,1.08,9.0,9.0,2377
15,2024-01-01 15:00:00,6.1,0.4,5.6,67.0,,,,2.8,180,6.3,1022.1,1027.1,0.0,0.65,9.0,9.0,2236
16,2024-01-01 16:00:00,5.9,0.2,4.7,67.0,,,,2.1,200,6.2,1021.9,1026.9,0.0,0.33,9.0,9.0,2255
17,2024-01-01 17:00:00,5.5,0.2,3.3,69.0,,,,0.9,250,6.2,1021.6,1026.6,0.0,0.21,8.0,8.0,2068
18,2024-01-01 18:00:00,3.7,-0.1,0.5,76.0,,,,0.6,320,6.1,1021.5,1026.5,0.0,0.02,1.0,1.0,1775
19,2024-01-01 19:00:00,2.9,0.0,0.9,81.0,,,,0.0,0,6.1,1021.3,1026.3,,,0.0,0.0,1597
20,2024-01-01 20:00:00,3.0,0.2,1.1,82.0,,,,0.1,0,6.2,1021.2,1026.2,,,0.0,0.0,1426
21,2024-01-01 21:00:00,2.9,0.4,1.1,84.0,,,,0.5,270,6.3,1021.2,1026.2,,,9.0,9.0,1335
22,2024-01-01 22:00:00,3.1,0.4,1.1,83.0,,,,0.6,290,6.3,1021.2,1026.2,,,0.0,0.0,1356
23,2024-01-01 23:00:00,3.1,0.4,1.1,83.0,,,,0.1,0,6.3,1021.1,1026.1,,,9.0,9.0,1347
24,2024-01-02 00:00:00,2.9,0.6,1.1,85.0,0.0,,,0.6,320,6.4,1020.7,1025.7,,,10.0,8.0,1131
25,2024-01-02 01:00:00,3.1,0.8,1.2,85.0,,,,1.3,250,6.5,1020.4,1025.4,,,10.0,9.0,921
26,2024-01-02 02:00:00,2.8,1.0,1.1,88.0,,,,0.7,270,6.6,1020.1,1025.1,,,9.0,9.0,717
27,2024-01-02 03:00:00,2.6,1.1,1.1,90.0,0.0,,,1.3,290,6.6,1020.3,1025.3,,,9.0,9.0,587
28,2024-01-02 04:00:00,2.6,0.9,0.7,89.0,,,,0.4,0,6.5,1019.6,1024.6,,,9.0,9.0,573
29,2024-01-02 05:00:00,2.3,0.8,0.1,90.0,,,,0.5,230,6.5,1019.0,1024.0,,,3.0,3.0,495
30,2024-01-02 06:00:00,1.6,0.7,0.3,94.0,,,,0.2,0,6.4,1018.7,1023.7,,,9.0,9.0,413
31,2024-01-02 07:00:00,1.8,0.9,0.6,94.0,,,,0.9,270,6.5,1019.0,1024.0,,,9.0,9.0,424
32,2024-01-02 08:00:00,2.0,0.8,0.9,92.0,,,,1.1,290,6.5,1019.0,1024.0,0.0,0.0,9.0,9.0,481
33,2024-01-02 09:00:00,2.5,0.5,1.4,87.0,0.0,,,1.0,320,6.3,1019.1,1024.1,0.0,0.05,9.0,9.0,588
34,2024-01-02 10:00:00,3.3,0.5,3.1,82.0,,,,0.8,290,6.3,1019.5,1024.5,0.0,0.24,9.0,9.0,644
35,2024-01-02 11:00:00,4.2,-0.7,7.3,70.0,,,,1.7,340,5.8,1018.7,1023.7,0.3,0.76,5.0,5.0,1045
36,2024-01-02 12:00:00,4.5,-0.7,6.3,69.0,0.0,,,2.4,320,5.8,1018.1,1023.1,0.1,0.83,9.0,9.0,1265
37,2024-01-02 13:00:00,4.0,-0.7,4.9,71.0,,,,2.9,290,5.8,1017.9,1022.9,0.0,0.43,9.0,9.0,1297
38,2024-01-02 14:00:00,4.0,-0.6,5.5,72.0,,,,1.8,320,5.8,1017.3,1022.3,0.0,0.43,9.0,9.0,1129
39,2024-01-02 15:00:00,4.3,-2.1,4.8,63.0,,,,1.4,270,5.2,1017.3,1022.3,0.0,0.5,9.0,9.0,2394
40,2024-01-02 16:00:00,4.1,-2.9,3.7,60.0,,,,1.7,250,4.9,1017.1,1022.1,0.0,0.28,9.0,9.0,4070
41,2024-01-02 17:00:00,3.4,-2.7,2.2,64.0,,,,0.8,270,5.0,1016.7,1021.7,0.0,0.18,9.0,3.0,3215
42,2024-01-02 18:00:00,2.5,-3.0,0.7,67.0,,,,1.1,250,4.9,1016.9,1021.9,0.0,0.01,8.0,3.0,3135
43,2024-01-02 19:00:00,2.0,-3.1,0.4,69.0,,,,0.9,250,4.9,1016.9,1021.9,,,10.0,9.0,2887
44,2024-01-02 20:00:00,1.4,-3.1,-0.1,72.0,,,,0.0,0,4.9,1017.0,1022.0,,,10.0,10.0,2457
45,2024-01-02 21:00:00,1.1,-2.8,-0.3,75.0,,,,0.7,290,5.0,1017.0,1022.0,,,9.0,0.0,2307
46,2024-01-02 22:00:00,0.6,-2.4,-0.5,80.0,,,,1.4,290,5.1,1016.6,1021.6,,,10.0,10.0,1861
47,2024-01-02 23:00:00,0.5,-2.3,-0.2,81.0,,,,1.0,290,5.2,1016.3,1021.3,,,10.0,10.0,1895
48,2024-01-03 00:00:00,0.6,-2.1,-0.2,82.0,,,,0.6,250,5.2,1016.3,1021.3,,,10.0,10.0,1745
49,2024-01-03 01:00:00,0.3,-2.2,-0.2,83.0,,,,0.8,290,5.2,1015.8,1020.8,,,10.0,10.0,1700
50,2024-01-03 02:00:00,0.2,-2.0,-0.2,85.0,,,,0.2,0,5.3,1015.6,1020.6,,,10.0,5.0,1676
51,2024-01-03 03:00:00,0.4,-1.9,-0.2,84.0,,,,0.2,0,5.3,1015.7,1020.7,,,10.0,9.0,1745
52,2024-01-03 04:00:00,0.6,-1.7,-0.1,84.0,,,,0.2,0,5.4,1015.1,1020.1,,,10.0,9.0,1628
53,2024-01-03 05:00:00,0.8,-1.6,0.2,84.0,,,,0.7,110,5.4,1014.7,1019.7,,,10.0,9.0,1458
54,2024-01-03 06:00:00,1.0,-1.9,0.3,81.0,,,,0.9,110,5.3,1014.3,1019.3,,,10.0,9.0,1340
55,2024-01-03 07:00:00,1.0,-1.4,0.4,84.0,,,,0.8,110,5.5,1014.4,1019.4,,,10.0,8.0,1143
